"","age.resp","books.per.year"
"1816",26,15
"1817",56,20
"1818",65,50
"1819",25,10
"1820",57,250
"1821",60,10
"1822",65,12
"1823",36,15
"1824",54,50
"1825",44,50
"1826",47,10
"1827",56,80
"1828",50,20
"1829",43,25
"1830",63,8
"1831",54,50
"1832",61,70
"1833",47,12
"1834",41,40
"1835",23,80
"1836",62,50
"1837",50,25
"1838",26,10
"1839",54,50
"1840",62,25
"1841",34,5
"1842",28,6
"1843",52,10
"1844",59,10
"1845",32,20
"1846",57,50
"1847",32,30
"1848",53,15
"1849",61,100
"1850",32,6
"1851",50,70
"1852",24,40
"1853",66,100
"1854",29,40
"1855",59,75
"1856",53,40
"1857",25,30
"1858",24,10
"1859",44,20
"1860",61,25
"1861",43,14
"1862",29,25
"1863",58,50
"1864",54,80
