"","Fiction","Other","Romantic","Suspense"
"1239",32,2,0,6
"1240",27,0,0,3
"1241",4,0,0,4
"1242",4,1,0,1
"1243",6,0,0,15
"1244",3,0,0,8
"1245",2,0,0,2
"1246",12,0,0,0
"1247",16,0,0,13
"1248",13,1,0,0
"1250",9,2,0,0
"1251",23,3,0,1
"1252",54,1,0,15
"1253",44,4,0,18
"1254",5,2,3,3
"1255",20,2,1,3
"1257",20,5,0,43
"1259",10,0,0,1
"1260",31,2,0,14
"1261",14,2,0,10
"1262",4,2,0,4
"1264",37,5,0,9
"1265",15,0,0,0
"1266",30,2,0,0
"1267",5,1,6,9
"1268",19,3,0,12
"1269",12,0,0,1
"1270",3,1,0,26
"1271",17,1,0,0
"1272",4,1,0,1
"1273",13,3,0,7
"1274",46,11,6,96
"1276",11,1,0,5
"1277",22,2,0,12
"1278",4,2,0,3
"1279",3,4,1,0
"1280",5,0,0,41
"1281",21,1,0,4
"1282",23,0,0,3
"1283",13,5,0,14
"1284",0,5,0,2
"1285",10,1,0,12
"1286",2,1,0,0
"1287",29,1,0,20
"1288",12,3,1,10
"1289",10,2,0,0
"1290",19,0,0,0
"1291",8,2,0,8
"1292",20,1,0,8
"1293",7,1,3,22
"1294",1,0,0,1
"1295",11,0,0,1
"1296",10,0,1,8
"1297",17,0,0,3
"1298",4,1,0,2
"1299",11,0,3,5
"1300",19,0,0,3
"1301",31,3,0,5
"1302",1,1,0,1
"1303",18,0,2,3
"1304",1,1,0,6
"1305",8,0,0,1
"1306",2,0,0,6
"1307",10,1,0,1
"1308",13,2,2,1
"1309",12,0,0,0
"1310",12,0,1,31
"1311",27,2,0,24
"1312",24,2,0,10
"1313",15,1,2,1
